evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,capped_payouts,capped_pct,pct_time_funded,days_funded,days_in_eval,strategy,firm,firm_label,tier,policy,eval_pass_rate,eval_days_to_pass,eval_days_to_bust,strategy_pnl,avg_contracts,funded_med_net,funded_mean_net,funded_med_payouts,funded_survive_pct,max_micros,split
33,10,10,6,11209.024000000722,1980.0,9229.024000000722,1868.170666666787,2441.5040000000504,1588,0,0.0,8.274298668177954,292,3237,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),100k,accumulate,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2108.4160000010393,2685.0445241388293,5.0,15.862068965517242,40,0.8
19,5,5,10,7235.328000001192,1140.0,6095.328000001192,723.5328000001192,2278.848000000045,2502,0,0.0,10.03117030320204,354,3175,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),150k,immediate,49.48805460750853,181.0,73.0,52562.279999999984,2.0,4080.672000000347,3823.917020690858,9.0,32.41379310344827,50,0.8
19,5,5,11,5620.1215000009515,1140.0,4480.1215000009515,510.92013636372286,1151.5780000000727,2502,0,0.0,10.144516860300369,358,3171,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),150k,half_buffer,49.48805460750853,181.0,73.0,52562.279999999984,2.0,4080.672000000347,3823.917020690858,9.0,32.41379310344827,50,0.8
18,5,5,3,5714.624000000722,1080.0,4634.624000000722,1904.8746666669074,2278.848000000045,2585,0,0.0,11.079625956361575,391,3138,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),150k,accumulate,49.48805460750853,181.0,73.0,52562.279999999984,2.0,4080.672000000347,3823.917020690858,9.0,32.41379310344827,50,0.8
17,7,7,25,23771.020000003045,6290.0,17481.020000003045,950.8408000001218,4092.6800000000803,1877,0,0.0,38.31113629923491,1352,2177,fixed N=1 移动止损,apex,Apex,50k,immediate,60.148514851485146,72.0,58.0,37091.640000000014,1.0,27.10000000151922,1051.6700689661386,1.0,52.41379310344828,100,1.0
14,6,6,34,21936.95168194192,6780.0,15156.951681941919,645.2044612335858,2787.897700576854,1877,0,0.0,42.53329555114763,1501,2028,fixed N=1 移动止损,apex,Apex,50k,half_buffer,60.148514851485146,72.0,58.0,37091.640000000014,1.0,27.10000000151922,1051.6700689661386,1.0,52.41379310344828,100,1.0
16,7,7,9,21439.18000000104,6595.0,14844.18000000104,2382.131111111227,3920.160000000091,2027,6,66.66666666666667,41.003117030320205,1447,2082,fixed N=1 移动止损,apex,Apex,50k,accumulate,60.148514851485146,72.0,58.0,37091.640000000014,1.0,27.10000000151922,1051.6700689661386,1.0,52.41379310344828,100,1.0
19,4,4,8,12446.22000000067,2365.0,10081.22000000067,1555.7775000000838,4092.6800000000803,3365,0,0.0,10.937942759988665,386,3143,fixed N=1 移动止损,apex,Apex,100k,immediate,34.96503496503497,103.0,93.0,37091.640000000014,1.0,95.0000000014843,1082.0296551730546,1.0,52.41379310344828,140,1.0
18,4,4,8,9812.678593750607,2500.0,7312.6785937506065,1226.5848242188258,2672.061406250068,3365,0,0.0,11.788041938226126,416,3113,fixed N=1 移动止损,apex,Apex,100k,half_buffer,34.96503496503497,103.0,93.0,37091.640000000014,1.0,95.0000000014843,1082.0296551730546,1.0,52.41379310344828,140,1.0
19,4,4,5,11898.920000000653,2365.0,9533.920000000653,2379.7840000001306,3894.660000000091,3387,3,60.0,10.99461603853783,388,3141,fixed N=1 移动止损,apex,Apex,100k,accumulate,34.96503496503497,103.0,93.0,37091.640000000014,1.0,95.0000000014843,1082.0296551730546,1.0,52.41379310344828,140,1.0
15,1,1,6,8977.500000000437,1120.0,7857.500000000437,1496.2500000000728,4166.70000000007,3393,1,16.666666666666668,3.8537829413431566,136,3393,fixed N=1 移动止损,apex,Apex,150k,immediate,73.6842105263158,186.0,162.0,37091.640000000014,1.0,1878.820000001404,2019.2932413802419,2.0,66.89655172413794,170,1.0
14,1,1,6,6876.173750000322,1170.0,5706.173750000322,1146.028958333387,2633.8462500000605,3393,0,0.0,4.647208841031453,164,3365,fixed N=1 移动止损,apex,Apex,150k,half_buffer,73.6842105263158,186.0,162.0,37091.640000000014,1.0,1878.820000001404,2019.2932413802419,2.0,66.89655172413794,170,1.0
14,1,1,3,6000.0,1170.0,4830.0,2000.0,2000.0,3425,3,100.0,4.647208841031453,164,3365,fixed N=1 移动止损,apex,Apex,150k,accumulate,73.6842105263158,186.0,162.0,37091.640000000014,1.0,1878.820000001404,2019.2932413802419,2.0,66.89655172413794,170,1.0
34,13,13,26,15515.874000001952,3675.0,11840.874000001952,596.7643846154598,1800.0,1588,1,3.8461538461538463,21.479172570133183,758,2771,fixed N=1 移动止损,topstep,TopStep,50k,immediate,42.130750605326874,60.0,42.0,37091.640000000014,1.0,1157.0400000008174,1526.0413655176474,2.0,22.06896551724138,50,0.9
29,11,11,38,16040.799492189515,3773.0,12267.799492189515,422.1263024260399,1156.8532500000344,1588,0,0.0,25.814678379144233,911,2618,fixed N=1 移动止损,topstep,TopStep,50k,half_buffer,42.130750605326874,60.0,42.0,37091.640000000014,1.0,1157.0400000008174,1526.0413655176474,2.0,22.06896551724138,50,0.9
30,11,11,6,10800.0,3724.0,7076.0,1800.0,1800.0,1801,6,100.0,24.08614338339473,850,2679,fixed N=1 移动止损,topstep,TopStep,50k,accumulate,42.130750605326874,60.0,42.0,37091.640000000014,1.0,1157.0400000008174,1526.0413655176474,2.0,22.06896551724138,50,0.9
17,4,4,17,10411.97400000101,1764.0,8647.97400000101,612.4690588235889,2147.0400000000313,2591,0,0.0,10.654576367242845,376,3153,fixed N=1 移动止损,topstep,TopStep,100k,immediate,39.56043956043956,108.0,113.0,37091.640000000014,1.0,1922.7780000004304,2211.6083586213613,3.0,48.275862068965516,100,0.9
16,3,3,26,16204.262717942986,1960.0,14244.262717942986,623.2408737670379,1742.7405129318563,2591,0,0.0,13.856616605270615,489,3040,fixed N=1 移动止损,topstep,TopStep,100k,half_buffer,39.56043956043956,108.0,113.0,37091.640000000014,1.0,1922.7780000004304,2211.6083586213613,3.0,48.275862068965516,100,0.9
17,4,4,4,8020.620000000408,1617.0,6403.620000000408,2005.155000000102,2322.5400000000313,3209,0,0.0,8.557665060923775,302,3227,fixed N=1 移动止损,topstep,TopStep,100k,accumulate,39.56043956043956,108.0,113.0,37091.640000000014,1.0,1922.7780000004304,2211.6083586213613,3.0,48.275862068965516,100,0.9
15,1,1,14,14175.10800000065,1274.0,12901.10800000065,1012.5077142857608,2851.4160000000443,3296,0,0.0,6.064040804760555,214,3315,fixed N=1 移动止损,topstep,TopStep,150k,immediate,68.53146853146853,186.0,137.0,37091.640000000014,1.0,2749.0500000006286,2934.819062069818,5.0,61.37931034482759,150,0.9
15,1,1,16,13124.834597901072,1274.0,11850.834597901072,820.3021623688169,1644.0724335937878,3296,0,0.0,6.064040804760555,214,3315,fixed N=1 移动止损,topstep,TopStep,150k,half_buffer,68.53146853146853,186.0,137.0,37091.640000000014,1.0,2749.0500000006286,2934.819062069818,5.0,61.37931034482759,150,0.9
15,1,1,7,14112.162000000622,1274.0,12838.162000000622,2016.0231428572317,2322.5400000000313,3332,0,0.0,6.1207140833097196,216,3313,fixed N=1 移动止损,topstep,TopStep,150k,accumulate,68.53146853146853,186.0,137.0,37091.640000000014,1.0,2749.0500000006286,2934.819062069818,5.0,61.37931034482759,150,0.9
36,13,13,40,18004.860000002092,1620.0,16384.860000002092,450.1215000000522,2556.0540000000506,1575,0,0.0,21.535845848682346,760,2769,fixed N=1 移动止损,lucid,Lucid (LucidPro),50k,immediate,43.198090692124104,56.0,42.0,37091.640000000014,1.0,1489.0140000015117,1821.5556827591813,6.0,26.20689655172414,40,0.9
34,14,14,77,17032.07318562633,1530.0,15502.07318562633,221.19575565748485,1369.5198750000272,1575,0,0.0,24.907905922357607,879,2650,fixed N=1 移动止损,lucid,Lucid (LucidPro),50k,half_buffer,43.198090692124104,56.0,42.0,37091.640000000014,1.0,1489.0140000015117,1821.5556827591813,6.0,26.20689655172414,40,0.9
33,12,12,6,12171.024000001245,1485.0,10686.024000001245,2028.5040000002075,2294.4780000001165,1801,0,0.0,23.746103712099746,838,2691,fixed N=1 移动止损,lucid,Lucid (LucidPro),50k,accumulate,43.198090692124104,56.0,42.0,37091.640000000014,1.0,1489.0140000015117,1821.5556827591813,6.0,26.20689655172414,40,0.9
17,4,4,20,9756.630000001005,765.0,8991.630000001005,487.83150000005037,2296.0260000000126,2591,0,0.0,11.079625956361575,391,3138,fixed N=1 移动止损,lucid,Lucid (LucidPro),100k,immediate,39.56043956043956,108.0,113.0,37091.640000000014,1.0,2190.2760000006415,2406.309393104253,9.0,46.206896551724135,60,0.9
18,4,4,36,12506.47377922842,810.0,11696.47377922842,347.40204942301165,1381.9976718750347,2591,0,0.0,12.241428166619439,432,3097,fixed N=1 移动止损,lucid,Lucid (LucidPro),100k,half_buffer,39.56043956043956,108.0,113.0,37091.640000000014,1.0,2190.2760000006415,2406.309393104253,9.0,46.206896551724135,60,0.9
18,5,5,4,7567.7760000004055,810.0,6757.7760000004055,1891.9440000001014,2037.69000000011,3209,0,0.0,9.209407764239161,325,3204,fixed N=1 移动止损,lucid,Lucid (LucidPro),100k,accumulate,39.56043956043956,108.0,113.0,37091.640000000014,1.0,2190.2760000006415,2406.309393104253,9.0,46.206896551724135,60,0.9
15,1,1,15,14654.37600000064,675.0,13979.37600000064,976.9584000000427,2218.2840000000347,3293,0,0.0,6.007367526211391,212,3317,fixed N=1 移动止损,lucid,Lucid (LucidPro),150k,immediate,68.53146853146853,186.0,137.0,37091.640000000014,1.0,3228.9660000003587,3428.448206897563,12.0,60.689655172413794,100,0.9
15,1,1,26,13878.30228775438,675.0,13203.30228775438,533.7808572213223,1390.5148489848712,3293,0,0.0,6.035704165485973,213,3316,fixed N=1 移动止损,lucid,Lucid (LucidPro),150k,half_buffer,68.53146853146853,186.0,137.0,37091.640000000014,1.0,3228.9660000003587,3428.448206897563,12.0,60.689655172413794,100,0.9
15,1,1,7,13822.380000000612,675.0,13147.380000000612,1974.6257142858017,2480.5980000000536,3332,0,0.0,6.1207140833097196,216,3313,fixed N=1 移动止损,lucid,Lucid (LucidPro),150k,accumulate,68.53146853146853,186.0,137.0,37091.640000000014,1.0,3228.9660000003587,3428.448206897563,12.0,60.689655172413794,100,0.9
39,15,15,35,15542.800000001607,2340.0,13202.800000001607,444.0800000000459,2302.8640000000364,1577,0,0.0,20.45905355624823,722,2807,fixed N=1 移动止损,tpt,Take Profit Trader (PRO),50k,immediate,43.198090692124104,56.0,42.0,37091.640000000014,1.0,1188.592000000109,1613.0053517246324,6.0,26.20689655172414,20,0.8
37,15,15,46,10045.086245118666,2220.0,7825.086245118666,218.37144011127538,1151.4320000000182,1577,0,0.0,21.960895437801078,775,2754,fixed N=1 移动止损,tpt,Take Profit Trader (PRO),50k,half_buffer,43.198090692124104,56.0,42.0,37091.640000000014,1.0,1188.592000000109,1613.0053517246324,6.0,26.20689655172414,20,0.8
34,13,13,5,8889.120000000881,2040.0,6849.120000000881,1777.8240000001763,1995.7120000000812,1801,0,0.0,19.297251345990365,681,2848,fixed N=1 移动止损,tpt,Take Profit Trader (PRO),50k,accumulate,43.198090692124104,56.0,42.0,37091.640000000014,1.0,1188.592000000109,1613.0053517246324,6.0,26.20689655172414,20,0.8
19,5,5,13,8947.568000000576,1140.0,7807.568000000576,688.2744615385059,2442.320000000042,2591,0,0.0,7.537546047038822,266,3263,fixed N=1 移动止损,tpt,Take Profit Trader (PRO),100k,immediate,39.56043956043956,108.0,113.0,37091.640000000014,1.0,1905.0880000012462,2097.822344828266,9.0,46.206896551724135,40,0.8
19,5,5,15,6304.706875000527,1140.0,5164.706875000527,420.31379166670183,1151.4320000000182,2591,0,0.0,8.415981864550865,297,3232,fixed N=1 移动止损,tpt,Take Profit Trader (PRO),100k,half_buffer,39.56043956043956,108.0,113.0,37091.640000000014,1.0,1905.0880000012462,2097.822344828266,9.0,46.206896551724135,40,0.8
19,5,5,4,7319.456000000355,1140.0,6179.456000000355,1829.8640000000887,2302.8640000000364,3361,0,0.0,8.047605553981297,284,3245,fixed N=1 移动止损,tpt,Take Profit Trader (PRO),100k,accumulate,39.56043956043956,108.0,113.0,37091.640000000014,1.0,1905.0880000012462,2097.822344828266,9.0,46.206896551724135,40,0.8
