evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,pct_time_funded,days_funded,days_in_eval,config,firm,policy,fees,eval_pass_rate
60,24,24,11,25414.839999999902,5096.0,20318.839999999902,2310.439999999991,3051.8799999999974,917,19.240578067441202,679,2850,fixed N=2 (trailing),topstep_50k,accumulate,promo,44.090610636900855
60,24,24,11,25414.839999999902,17160.0,8254.839999999902,2310.439999999991,3051.8799999999974,917,19.240578067441202,679,2850,fixed N=2 (trailing),topstep_50k,accumulate,list,44.090610636900855
57,20,20,25,44671.07999999983,7350.0,37321.07999999983,1786.843199999993,13846.00000000003,1555,31.59535279115897,1115,2414,fixed N=2 (fixed stop),apex_50k,immediate,promo,47.06078824315297
57,20,20,25,44671.07999999983,14874.0,29797.079999999827,1786.843199999993,13846.00000000003,1555,31.59535279115897,1115,2414,fixed N=2 (fixed stop),apex_50k,immediate,list,47.06078824315297
39,13,13,51,56988.71159769038,8080.0,48908.71159769038,1117.4257176017722,7699.933750000062,1555,43.383394729385095,1531,1998,fixed N=2 (fixed stop),apex_50k,half_buffer,promo,47.06078824315297
39,13,13,51,56988.71159769038,13228.0,43760.71159769038,1117.4257176017722,7699.933750000062,1555,43.383394729385095,1531,1998,fixed N=2 (fixed stop),apex_50k,half_buffer,list,47.06078824315297
47,15,15,18,47692.15999999975,7850.0,39842.15999999975,2649.5644444444306,9488.039999999979,1562,38.821195806177386,1370,2159,fixed N=2 (fixed stop),apex_50k,accumulate,promo,47.06078824315297
47,15,15,18,47692.15999999975,14054.0,33638.15999999975,2649.5644444444306,9488.039999999979,1562,38.821195806177386,1370,2159,fixed N=2 (fixed stop),apex_50k,accumulate,list,47.06078824315297
97,30,30,25,57112.15999999989,7056.0,50056.15999999989,2284.4863999999957,9548.159999999996,915,18.95721167469538,669,2860,fixed N=2 (fixed stop),topstep_50k,immediate,promo,38.80353056554429
97,30,30,25,57112.15999999989,23760.0,33352.15999999989,2284.4863999999957,9548.159999999996,915,18.95721167469538,669,2860,fixed N=2 (fixed stop),topstep_50k,immediate,list,38.80353056554429
85,30,30,39,46314.44531249987,7350.0,38964.44531249987,1187.549879807689,4774.079999999998,915,29.8101445168603,1052,2477,fixed N=2 (fixed stop),topstep_50k,half_buffer,promo,38.80353056554429
85,30,30,39,46314.44531249987,24750.0,21564.44531249987,1187.549879807689,4774.079999999998,915,29.8101445168603,1052,2477,fixed N=2 (fixed stop),topstep_50k,half_buffer,list,38.80353056554429
95,31,31,17,52290.71999999988,6909.0,45381.71999999988,3075.9247058823457,9548.159999999996,939,19.070558231793708,673,2856,fixed N=2 (fixed stop),topstep_50k,accumulate,promo,38.80353056554429
95,31,31,17,52290.71999999988,23265.0,29025.719999999877,3075.9247058823457,9548.159999999996,939,19.070558231793708,673,2856,fixed N=2 (fixed stop),topstep_50k,accumulate,list,38.80353056554429
64,22,22,23,27061.220000000198,7595.0,19466.220000000198,1176.5747826087043,3802.600000000035,1515,32.98384811561349,1164,2365,pct 0.5% (trailing),apex_50k,immediate,promo,31.598727956056663
64,22,22,23,27061.220000000198,16043.0,11018.220000000198,1176.5747826087043,3802.600000000035,1515,32.98384811561349,1164,2365,pct 0.5% (trailing),apex_50k,immediate,list,31.598727956056663
55,20,20,38,27091.998433113557,8640.0,18451.998433113557,712.9473271871989,2375.642246093743,1515,42.87333522244262,1513,2016,pct 0.5% (trailing),apex_50k,half_buffer,promo,31.598727956056663
55,20,20,38,27091.998433113557,15900.0,11191.998433113557,712.9473271871989,2375.642246093743,1515,42.87333522244262,1513,2016,pct 0.5% (trailing),apex_50k,half_buffer,list,31.598727956056663
61,24,24,11,23128.679999999964,8340.0,14788.679999999964,2102.6072727272694,3128.679999999964,1524,37.8577500708416,1336,2193,pct 0.5% (trailing),apex_50k,accumulate,promo,31.598727956056663
61,24,24,11,23128.679999999964,16392.0,6736.679999999964,2102.6072727272694,3128.679999999964,1524,37.8577500708416,1336,2193,pct 0.5% (trailing),apex_50k,accumulate,list,31.598727956056663
98,32,32,21,27909.980000000098,7056.0,20853.980000000098,1329.0466666666714,3458.7600000000093,550,18.900538396146217,667,2862,pct 0.5% (trailing),topstep_50k,immediate,promo,30.502599653379548
98,32,32,21,27909.980000000098,23760.0,4149.980000000098,1329.0466666666714,3458.7600000000093,550,18.900538396146217,667,2862,pct 0.5% (trailing),topstep_50k,immediate,list,30.502599653379548
