evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,capped_payouts,capped_pct,pct_time_funded,days_funded,days_in_eval,config,tier,risk_basis,path,risk_dollars,losses_to_bust,max_micros,avg_contracts,strategy_pnl,eval_pass_rate
43,13,13,20,21378.92400000172,3283.0,18095.92400000172,1068.9462000000858,2700.0,1569.0,2,10.0,10.85293284216492,383,3146,fixed N=2 (trailing),100k,pct_balance,standard,1000.0,3.0,100,2.0,74183.28000000003,32.480485689505635
45,12,12,23,24514.092000001787,3479.0,21035.092000001787,1065.8300869565994,3444.480000000063,1566.0,0,0.0,11.674695381127798,412,3117,fixed N=2 (trailing),100k,pct_balance,consistency,1000.0,3.0,100,2.0,74183.28000000003,32.480485689505635
40,16,16,19,16869.852000001756,3479.0,13390.852000001756,887.8869473685132,1822.9680000000692,1572.0,0,0.0,13.318220459053556,470,3059,fixed N=2 (trailing),100k,pct_mll,standard,750.0,4.0,100,2.0,65761.28000000001,33.940182054616386
38,15,15,24,19900.980000001786,3430.0,16470.980000001786,829.2075000000747,2395.944000000082,1569.0,0,0.0,14.22499291584018,502,3027,fixed N=2 (trailing),100k,pct_mll,consistency,750.0,4.0,100,2.0,65761.28000000001,33.940182054616386
19,5,5,11,9163.332000001345,1960.0,7203.332000001345,833.0301818183042,2140.3080000001005,2502.0,0,0.0,10.371209974497024,366,3163,fixed N=2 (trailing),150k,fixed_dollar,standard,500.0,9.0,150,2.0,52562.279999999984,48.55172413793103
19,5,5,12,9431.532000001345,1911.0,7520.532000001345,785.9610000001122,2140.3080000001005,2502.0,0,0.0,10.31453669594786,364,3165,fixed N=2 (trailing),150k,fixed_dollar,consistency,500.0,9.0,150,2.0,52562.279999999984,48.55172413793103
29,9,9,16,22309.848000002337,2744.0,19565.848000002337,1394.3655000001459,3550.3920000000567,1651.0,0,0.0,14.22499291584018,502,3027,fixed N=2 (trailing),150k,pct_balance,standard,1500.0,3.0,150,2.0,68259.28000000001,30.7898979043525
31,9,9,17,21144.780000002105,2793.0,18351.780000002105,1243.810588235418,4592.052000000025,1627.0,0,0.0,12.94984414848399,457,3072,fixed N=2 (trailing),150k,pct_balance,consistency,1500.0,3.0,150,2.0,68259.28000000001,30.7898979043525
26,7,7,25,32778.86400000317,2744.0,30034.864000003166,1311.1545600001266,4129.344000000082,1761.0,0,0.0,15.415131765372626,544,2985,fixed N=2 (trailing),150k,pct_mll,standard,1125.0,4.0,150,2.0,75009.28000000001,41.06853750674582
23,6,6,24,24803.712000002823,2401.0,22402.712000002823,1033.4880000001178,4129.344000000082,1761.0,0,0.0,14.083309719467271,497,3032,fixed N=2 (trailing),150k,pct_mll,consistency,1125.0,4.0,150,2.0,75009.28000000001,41.06853750674582
