accounts,payouts,withdrawn_gross,withdrawn,fees_paid,net_to_trader,capped_payouts,config,tier,risk_basis,path
1,3,1823.280000000028,1640.9520000000252,4508.0,-2867.0479999999748,0,ATR k=1 (原主口径),150k,fixed_dollar,standard
2,6,3646.560000000056,3281.9040000000505,9016.0,-5734.0959999999495,0,ATR k=1 (原主口径),150k,fixed_dollar,standard
3,9,5469.840000000084,4922.856000000076,13524.0,-8601.143999999924,0,ATR k=1 (原主口径),150k,fixed_dollar,standard
5,15,9116.40000000014,8204.760000000126,22540.0,-14335.239999999874,0,ATR k=1 (原主口径),150k,fixed_dollar,standard
10,30,18232.80000000028,16409.52000000025,45080.0,-28670.47999999975,0,ATR k=1 (原主口径),150k,fixed_dollar,standard
1,3,1641.0,1476.9,4508.0,-3031.1,0,ATR k=1 (原主口径),150k,fixed_dollar,consistency
2,6,3282.0,2953.8,9016.0,-6062.2,0,ATR k=1 (原主口径),150k,fixed_dollar,consistency
3,9,4923.0,4430.700000000001,13524.0,-9093.3,0,ATR k=1 (原主口径),150k,fixed_dollar,consistency
5,15,8205.0,7384.5,22540.0,-15155.5,0,ATR k=1 (原主口径),150k,fixed_dollar,consistency
10,30,16410.0,14769.0,45080.0,-30311.0,0,ATR k=1 (原主口径),150k,fixed_dollar,consistency
1,0,0.0,0.0,10388.0,-10388.0,0,ATR k=1 (原主口径),150k,pct_balance,standard
2,0,0.0,0.0,20776.0,-20776.0,0,ATR k=1 (原主口径),150k,pct_balance,standard
3,0,0.0,0.0,31164.0,-31164.0,0,ATR k=1 (原主口径),150k,pct_balance,standard
5,0,0.0,0.0,51940.0,-51940.0,0,ATR k=1 (原主口径),150k,pct_balance,standard
10,0,0.0,0.0,103880.0,-103880.0,0,ATR k=1 (原主口径),150k,pct_balance,standard
1,3,15620.780000000028,14058.702000000025,10535.0,3523.702000000025,2,ATR k=1 (原主口径),150k,pct_balance,consistency
2,6,31241.560000000056,28117.40400000005,21070.0,7047.40400000005,4,ATR k=1 (原主口径),150k,pct_balance,consistency
3,9,46862.340000000084,42176.10600000007,31605.0,10571.106000000073,6,ATR k=1 (原主口径),150k,pct_balance,consistency
5,15,78103.90000000014,70293.51000000013,52675.0,17618.510000000126,10,ATR k=1 (原主口径),150k,pct_balance,consistency
10,30,156207.80000000028,140587.02000000025,105350.0,35237.02000000025,20,ATR k=1 (原主口径),150k,pct_balance,consistency
1,3,11059.020000000048,9953.118000000042,9065.0,888.1180000000422,2,ATR k=1 (原主口径),150k,pct_mll,standard
2,6,22118.040000000095,19906.236000000084,18130.0,1776.2360000000845,4,ATR k=1 (原主口径),150k,pct_mll,standard
3,9,33177.06000000014,29859.354000000127,27195.0,2664.3540000001267,6,ATR k=1 (原主口径),150k,pct_mll,standard
5,15,55295.10000000024,49765.590000000215,45325.0,4440.590000000215,10,ATR k=1 (原主口径),150k,pct_mll,standard
10,30,110590.20000000048,99531.18000000043,90650.0,8881.18000000043,20,ATR k=1 (原主口径),150k,pct_mll,standard
1,3,11279.779999999999,10151.802,9163.0,988.8019999999997,1,ATR k=1 (原主口径),150k,pct_mll,consistency
2,6,22559.559999999998,20303.604,18326.0,1977.6039999999994,2,ATR k=1 (原主口径),150k,pct_mll,consistency
3,9,33839.34,30455.406,27489.0,2966.405999999999,3,ATR k=1 (原主口径),150k,pct_mll,consistency
5,15,56398.899999999994,50759.009999999995,45815.0,4944.009999999995,5,ATR k=1 (原主口径),150k,pct_mll,consistency
10,30,112797.79999999999,101518.01999999999,91630.0,9888.01999999999,10,ATR k=1 (原主口径),150k,pct_mll,consistency
